,,,Evidence of Institutional Commitment,,,,,,,,,,,,
Institution,Institution Descriptions,Centers and Clinics,"Relevant Centers, Institutes, & Programs",Recurring symposia,Relevant clinic clients,,,,,,,, ,,
Albany Law School,,"Community Economic Development Clinic

Innovation and Entrepreneurship",TRUE,FALSE,FALSE,,"Albany's Innovation and Entrepreneurship program has an ""Innovation and Entrepreneurship Pathway."" Within that pathway, students can choose a ""Social Entrepreneurship and Law"" concentration, although students are not required to choose a concentration.

Albany also has a Community Economic Development Clinic (founded in 2016), which serves as a legal resource for individuals, startups, small businesses, nonprofits, and grassroots groups to increase access to transactional legal services, however the clinic site makes no mention of serving clients who are social entrepreneurs or operate as any of our secondary keywords. 

","Tied for #117 by US News

The ""Social Entreprenuership and Law"" concentration is part of a larger entrepreurship pathway, and no concentration is even required.

Innovation and Entrepreneurship Program has broad focus (seems more interested in startups than social enterprises). 

Clinic does not mention specifically that it takes on social enterprises as clients. 

Do we need to include Albany on the tiered short list? I think they've made an institutional commitment to entrepreneurship, but they haven't made that commitment to social enterpirse, impact investing, or sustainable development specifically. ","Tied for #117 by US News

Programs/Clinic are separate and there is not a presence of institutional commitment to social entrepreneurship, impact investing or sustainble development. It is more broad. We do not need to include on shortlist. ",,,,,,
University of Oklahoma College of Law,,"Entrepreneurial Law Center in Tom Love Innovation Hub

Tom Love Center for Entrepreneurship",TRUE,FALSE,FALSE,,"OU Entrepreneurial Law Center (ELC)
The OU Entrepreneurial Law Center (ELC) is the first center of its kind in Oklahoma. The ELC operates under the leadership of Executive Director David Kinsinger and is housed within the Tom Love Innovation Hub.An article announcing the center's launch includes the phrase ""sustainable businesses,"" indicating a focus relevant to the research. The full quotation from the article states, ""The OU ELC provides these services, reducing the barriers to entrepreneurship and empowering startups to develop their ideas into sustainable businesses.""

Online Presence: The ELC does not currently have a dedicated website. Due to the mention of ""sustainable businesses"" and its unique status in the state, the ELC is a relevant entity for further consideration.

Tom Love Center for Entrepreneurship hosts experiential learning at the Innovation Hub for students to get access to hands-on access to tools or guidance from the Legal Clinic.

The crossover between the Tom Love Innovation Hub and Tom Love Center for Entrepreneurship is not always clear but donation is from Tom and Judy Love Foundation who have donated to the university's entrepreneurship program since 2003. ",I don't think OU should be included on the shortlist at all. The web presence is not very comprehensive. I don't see any institutional commitment here. ,The programs overlap and it is unclear what which Center and Hubs hold which intiative despite having institutional commitment from a donor. The school is also not highly ranked. ,,,,,,
University of San Francisco School of Law,,"Center for Law, Tech, and Social Good


Internet & Intellectual Property Justice Clinic

",TRUE,FALSE,TRUE,,"The Center for Law, Tech, and Social Good focuses on social and environmental change, which aligns with the research objectives. The Center is led by Faculty Director Michele Neitz, was previously known as the Blockchain Law for Social Good Center, which was the first of its kind in the United States.

The Center houses the Internet & Intellectual Property Justice Clinic, which provides services to individuals and startups dedicated to social and environmental change, as well as to inventors, artists, and entrepreneurs.

Other initiatives include:
-Training for executives
- Research and research opportunities for students
- Collaboration with an advisory board whose members work at large companies
- Generous contributions from various companies are listed at the bottom of the Center's webpage.","Tied for #166 in US News

Classes offered center around tech broadly; not social entrepreneurship (AI & Law, Blockchain Law, and Decentralized Finance Law)

Dedicated annual research project centers around blockchain

I don't see a specific connection to any of our keywords here; I don't think USF should even be included in Tier III","Tied for #166 in US News

I don't see a specific connection to any of our keywords here;",,,,,,
Stong institutional commitment*,,,,,,,,,,,,,,,
Columbia Law School ,"• Columbia Law School offers the Entrepreneurship and Community Development Clinic (offered Fall 2025 and Spring 2026). 
        • The clinic’s website states that their clients “might include micro-entrepreneurs, technology entrepreneurs, social entrepreneurs, artists, authors or filmmakers, who may be individuals or for-profit businesses in need of transactional legal counsel related to starting or operating their business."" 
        • Students in this clinic can broaden their experience by ""holding bi-weekly office hours with various incubators such as the Columbia Startup Lab."" 
• The Climate School at Columbia University includes the Columbia Center on Sustainable Investment (CCSI), and it takes an interdisciplinary approach that draws on the expertise of the faculty in business, law, and engineering, among others. 
•How the Climate School works: 
        • Research
        • Policy and Advisory Services
        • Multi-Stakeholder and Expert Dialogue
        • Teaching and Curriculum Development
        • Resources and Tools
• Also outside of the law school, Columbia Business School is home to the Tamer Institute for Social Enterprise and Climate Change whose mission is to educate “leaders to use business knowledge, entrepreneurial skills, and management tools to address social and environmental challenges.”","Columbia Center on Sustainable Investment

Columbia Law School Entrepreneurship and Community Development Clinic

",TRUE,FALSE,TRUE,,,,,,,,,,
Georgetown University Law Center,"• Denny Center for Democratic Capitalism: “Over the last 200 years, free market capitalism has proven itself as an unmatched engine for driving economic growth in the United States and around the world, and yet big problems persist, including uneven economic opportunities, degradation of natural resources, and questions of corporate integrity when profits appear to be the sole motivator. The Denny Center’s primary work is to evaluate the relative balance of economic performance and societal health and stability.”
• The Denny Center: 
        • conducts and publishes research, including the center’s signature annual report card to analyze the current health of democratic capitalism;
        • convenes leading voices from business, government and society (both public and private sectors) to discuss existing tensions and recommend new paths forward; and
        • creative student experiences to enrich their education, engage them in the center’s work, and prepare them for lifelong contributions.
• The Denny Center currently has two Affiliated Fellows who ""are available to collaborate with students, faculty, and staff on research projects, event organization and participation, and student mentoring."" 
• The law school also operates the Social Enterprise & Nonprofit Law Clinic (SENLC) which “offers free corporate and transactional legal services to social enterprises, including nonprofit organizations, cooperative associations, and select small businesses in the Washington Metropolitan Area.” 
        • In 2012, the clinic (along with clinics from George Washington and Michigan) launched a collaboration with their common client: Ashoka.
        • The clinic offers a two-year graduate teaching fellowship.","Georgetown Social Enterprise and Nonprofit Clinic

Georgetown Denny Center for Democratic Capitalism",TRUE,FALSE,TRUE,,,,,,,,,,
New York University School of Law,"• The Grunin Center serves as a comprehensive institutional hub for social entrepreneurship, impact investing, and sustainable development. The Center sponsors research, hosts convenings for practitioners and scholars, develops educational resources, and supports student engagement across all three fields. 
        • The Center operates the International Transactions Clinic (ITC), which provided over 2,300 billable hours of transactional legal work in 2024-25. The clinic's clients include social enterprises, impact investors, and sustainable development organizations worldwide. The ITC historically supported the launch of the NYU Impact Investment Fund (NIIF), a joint venture with Stern School of Business and Wagner School of Public Service that provides students with hands-on impact investing experience.
        • The Grunin Center hosts multiple annual and other recurring events including the flagship IILWG/Grunin Center Conference (bringing together lawyers, scholars, and social entrepreneurs), a symposium co-hosted with the NYU Law Journal of Law and Business, and the Legal Scholars & Educators Convening. The Center also offers CLE programming, including workshops on launching and managing impact investment funds, and administers the Impact Legal Fellows Program in conjunction with the International Finance Corporation (IFC) to build legal capacity around impact transactions in emerging markets.
        • The Center's Tepper Fellows program enables students to drive thought leadership. The Tepper Fellows annually publish ""Mapping the State of Social Enterprise and the Law,"" update the Social Enterprise Law Tracker (SELT), an interactive map tracking state legislation around five social enterprise corporate forms across the United States from 2008 to present. Broader student engagement is fostered through the Social Enterprise & Startup Law Group (SE-SL), a student-run organization that the Gruin Center supports. 
        • Outstanding contributions are recognized through the White & Case Award in Law and Social Entrepreneurship (for students) and the Grunin Prizes (for practitioners).
• Outside of the law school, NYU Stern's Center for Sustainable Business focuses on integrating sustainability into corporate strategy, and Wagner's Social Innovation & Investment Initiative designs social financial instruments and innovative financing models—both offering programming that complements the Grunin Center's work and creates cross-school collaboration opportunities for law students.","International Transactions Clinic (ITC)

Grunin Center for Law and Social Entrepreneurship

",TRUE,TRUE,TRUE,,,,,,,,,,""""
Northwestern Pritzker School of Law,"• The Donald Pritzker Entrepreneurship Law Center (DPELC): “With the prevalence of entrepreneurship in business and law around the country, lawyers need to be prepared both to serve entrepreneurs as clients and to approach legal problems in a more entrepreneurial manner.” 
        • The DPELC clinic “provides legal services to start-up companies and social entrepreneurs in Illinois and California.”
        • DPELC hosts events such as the Future of Innovation, Sustainability, and the Law speaker series and symposia. 
        • The DPELC offers a variety of courses, including traditional, clinical, and simulation-based courses, as well as a competition and workshops.","Donald Pritzker Entrepreneurship Law Center Clinic

Donald Pritzker Entrepreneurship Law Center",TRUE,FALSE,TRUE,,,,,,,,,,
UC Berkeley Law,"• “The Berkeley Center for Law and Business (BCLB) is dedicated to leveraging the power of business to help solve some of society’s most difficult challenges.”
        • “We aim to be the leading venue for conversations about sustainability, corporate governance, equity and inclusion, financial fraud, mergers and acquisitions, venture capital, small business, and other important policy issues.”
        • The BCLB leads its webpage with a letter from the dean that includes: “Our business law program stands out for the way it connects rigorous academic inquiry with real-world practice. With a strong focus on corporate purpose, values-based leadership, and long-term solutions, BCLB helps equip our students and the legal community not only to succeed in business, but also to lead in ways that advance the broader public good.”
        • Initiatives within BCLB include: 
                • Startup@BerkeleyLaw
                • Business in Society Institute
                • Women in Business Law Initiative
                • Art, Law, and Finance Project
                • Executive Education
                        • ESG University: a Sustainable Capitalism Online Certificate Program. 
                • Student Voices
        • The BCLB hosts numerous fora, summits, symposia, and other events, and it is sponsored by ten prominent law firms, including Skadden, Orrick, and Cooley. 
• Berkeley’s Social Enterprise Clinic: “The clinic serves as transactional counsel for social enterprises — for-profit and nonprofit businesses that use market-based strategies to advance racial and economic justice.”","Social Enterprise Clinic

Berkeley Center for Law and Business (BCLB)",TRUE,TRUE,TRUE,,,,,,,,,,
