				Evidence of Institutional Commitment												
Institution	Institution Descriptions	Level of Institutional Commitment	Centers and Clinics	Relevant Centers, Institutes, & Programs	Recurring symposia	Relevant clinic clients								 		
Columbia Law School 	"â€¢ Columbia Law School offers the Entrepreneurship and Community Development Clinic (offered Fall 2025 and Spring 2026). 
        â€¢ The clinicâ€™s website states that their clients â€œmight include micro-entrepreneurs, technology entrepreneurs, social entrepreneurs, artists, authors or filmmakers, who may be individuals or for-profit businesses in need of transactional legal counsel related to starting or operating their business."" 
        â€¢ Students in this clinic can broaden their experience by ""holding bi-weekly office hours with various incubators such as the Columbia Startup Lab."" 
â€¢ The Climate School at Columbia University includes the Columbia Center on Sustainable Investment (CCSI), and it takes an interdisciplinary approach that draws on the expertise of the faculty in business, law, and engineering, among others. 
â€¢How the Climate School works: 
        â€¢ Research
        â€¢ Policy and Advisory Services
        â€¢ Multi-Stakeholder and Expert Dialogue
        â€¢ Teaching and Curriculum Development
        â€¢ Resources and Tools
â€¢ Also outside of the law school, Columbia Business School is home to the Tamer Institute for Social Enterprise and Climate Change whose mission is to educate â€œleaders to use business knowledge, entrepreneurial skills, and management tools to address social and environmental challenges.â€"	Strong	"Columbia Center on Sustainable Investment

Columbia Law School Entrepreneurship and Community Development Clinic

"	TRUE	FALSE	TRUE										
Georgetown University Law Center	"â€¢ Denny Center for Democratic Capitalism: â€œOver the last 200 years, free market capitalism has proven itself as an unmatched engine for driving economic growth in the United States and around the world, and yet big problems persist, including uneven economic opportunities, degradation of natural resources, and questions of corporate integrity when profits appear to be the sole motivator. The Denny Centerâ€™s primary work is to evaluate the relative balance of economic performance and societal health and stability.â€
â€¢ The Denny Center: 
        â€¢ conducts and publishes research, including the centerâ€™s signature annual report card to analyze the current health of democratic capitalism;
        â€¢ convenes leading voices from business, government and society (both public and private sectors) to discuss existing tensions and recommend new paths forward; and
        â€¢ creative student experiences to enrich their education, engage them in the centerâ€™s work, and prepare them for lifelong contributions.
â€¢ The Denny Center currently has two Affiliated Fellows who ""are available to collaborate with students, faculty, and staff on research projects, event organization and participation, and student mentoring."" 
â€¢ The law school also operates the Social Enterprise & Nonprofit Law Clinic (SENLC) which â€œoffers free corporate and transactional legal services to social enterprises, including nonprofit organizations, cooperative associations, and select small businesses in the Washington Metropolitan Area.â€ 
        â€¢ In 2012, the clinic (along with clinics from George Washington and Michigan) launched a collaboration with their common client: Ashoka.
        â€¢ The clinic offers a two-year graduate teaching fellowship."	Strong	"Georgetown Social Enterprise and Nonprofit Clinic

Georgetown Denny Center for Democratic Capitalism"	TRUE	FALSE	TRUE										
New York University School of Law	"â€¢ The Grunin Center serves as a comprehensive institutional hub for social entrepreneurship, impact investing, and sustainable development. The Center sponsors research, hosts convenings for practitioners and scholars, develops educational resources, and supports student engagement across all three fields. 
        â€¢ The Center operates the International Transactions Clinic (ITC), which provided over 2,300 billable hours of transactional legal work in 2024-25. The clinic's clients include social enterprises, impact investors, and sustainable development organizations worldwide. The ITC historically supported the launch of the NYU Impact Investment Fund (NIIF), a joint venture with Stern School of Business and Wagner School of Public Service that provides students with hands-on impact investing experience.
        â€¢ The Grunin Center hosts multiple annual and other recurring events including the flagship IILWG/Grunin Center Conference (bringing together lawyers, scholars, and social entrepreneurs), a symposium co-hosted with the NYU Law Journal of Law and Business, and the Legal Scholars & Educators Convening. The Center also offers CLE programming, including workshops on launching and managing impact investment funds, and administers the Impact Legal Fellows Program in conjunction with the International Finance Corporation (IFC) to build legal capacity around impact transactions in emerging markets.
        â€¢ The Center's Tepper Fellows program enables students to drive thought leadership. The Tepper Fellows annually publish ""Mapping the State of Social Enterprise and the Law,"" update the Social Enterprise Law Tracker (SELT), an interactive map tracking state legislation around five social enterprise corporate forms across the United States from 2008 to present. Broader student engagement is fostered through the Social Enterprise & Startup Law Group (SE-SL), a student-run organization that the Gruin Center supports. 
        â€¢ Outstanding contributions are recognized through the White & Case Award in Law and Social Entrepreneurship (for students) and the Grunin Prizes (for practitioners).
â€¢ Outside of the law school, NYU Stern's Center for Sustainable Business focuses on integrating sustainability into corporate strategy, and Wagner's Social Innovation & Investment Initiative designs social financial instruments and innovative financing modelsâ€”both offering programming that complements the Grunin Center's work and creates cross-school collaboration opportunities for law students."	Strong	"International Transactions Clinic (ITC)

Grunin Center for Law and Social Entrepreneurship

"	TRUE	TRUE	TRUE										"
Northwestern Pritzker School of Law	"â€¢ The Donald Pritzker Entrepreneurship Law Center (DPELC): â€œWith the prevalence of entrepreneurship in business and law around the country, lawyers need to be prepared both to serve entrepreneurs as clients and to approach legal problems in a more entrepreneurial manner.â€ 
        â€¢ The DPELC clinic â€œprovides legal services to start-up companies and social entrepreneurs in Illinois and California.â€
        â€¢ DPELC hosts events such as the Future of Innovation, Sustainability, and the Law speaker series and symposia. 
        â€¢ The DPELC offers a variety of courses, including traditional, clinical, and simulation-based courses, as well as a competition and workshops."	Strong	"Donald Pritzker Entrepreneurship Law Center Clinic

Donald Pritzker Entrepreneurship Law Center"	TRUE	FALSE	TRUE										
UC Berkeley Law	"â€¢ â€œThe Berkeley Center for Law and Business (BCLB) is dedicated to leveraging the power of business to help solve some of societyâ€™s most difficult challenges.â€
        â€¢ â€œWe aim to be the leading venue for conversations about sustainability, corporate governance, equity and inclusion, financial fraud, mergers and acquisitions, venture capital, small business, and other important policy issues.â€
        â€¢ The BCLB leads its webpage with a letter from the dean that includes: â€œOur business law program stands out for the way it connects rigorous academic inquiry with real-world practice. With a strong focus on corporate purpose, values-based leadership, and long-term solutions, BCLB helps equip our students and the legal community not only to succeed in business, but also to lead in ways that advance the broader public good.â€
        â€¢ Initiatives within BCLB include: 
                â€¢ Startup@BerkeleyLaw
                â€¢ Business in Society Institute
                â€¢ Women in Business Law Initiative
                â€¢ Art, Law, and Finance Project
                â€¢ Executive Education
                        â€¢ ESG University: a Sustainable Capitalism Online Certificate Program. 
                â€¢ Student Voices
        â€¢ The BCLB hosts numerous fora, summits, symposia, and other events, and it is sponsored by ten prominent law firms, including Skadden, Orrick, and Cooley. 
â€¢ Berkeleyâ€™s Social Enterprise Clinic: â€œThe clinic serves as transactional counsel for social enterprises â€” for-profit and nonprofit businesses that use market-based strategies to advance racial and economic justice.â€"	Strong	"Social Enterprise Clinic

Berkeley Center for Law and Business (BCLB)"	TRUE	TRUE	TRUE										
University of California at Los Angeles (UCLA) School of Law	"â€¢ The Lowell Milken Institute for Business Law and Policy: â€œFor more than two decades, UCLA School of Law has offered a Business Law and Policy Specialization for law students interested in practicing corporate and business law.â€ Its programming includes competitions, educational events, scholarships, and support for student organizations. 
        â€¢ While the instituteâ€™s primary focus is not social entrepreneurship, we include it as an institution with a strong commitment due to the area of research of its executive director, Michael Dorff. Prof. Dorffâ€™s research and teaching focus on social enterprises, and he is the author of Becoming a Public Benefit Corporation: Express Your Values, Energize Stakeholders, Make the World a Better Place. 
        â€¢ Social entrepreneurship is an element of the instituteâ€™s programming including the Lowell Milken Institute-Sandler Prize for New Entrepreneurs, which is a business plan competition that is open to startup businesses that are for-profit, not-for-profit, or public benefit; and the executive education partnership with UC Berkeley that offers ESG University. 
"	Strong	Lowell Milken Institute for Business Law and Policy	TRUE	TRUE	FALSE										
University of Michigan School of Law	"â€¢ The University of Michigan Law School offers the Transactional Law Clinics Program: â€œThe Transactional Law Clinics Program, which consists of the Community Enterprise Clinic, Zell Entrepreneurship Clinic, and the International Transactions Clinic (ITC), provides legal assistance to startups, nonprofits, community-based organizations, small businesses, impact investors, micro-finance institutions, cooperatives, and social enterprises.â€
        â€¢ Community Enterprise Clinic: Provides transactional legal services to social enterprises, cooperatives, and community-based nonprofits with a mission of promoting economic and social justice in disinvested urban areas, including work on projects like sustainable food systems. 
        â€¢ ITC: Works on cross-border deals for a diverse clientele including social enterprises and impact investors, often using models like microfranchising to achieve scalability and maximize global impact. Launched in 2008, the ITC is the first legal clinic of its kind to combine an international and transactional focus. 
                â€¢ In 2012, the clinic (along with clinics from George Washington and Georgetown) launched a collaboration with their common client: Ashoka. 
                â€¢ The clinic offers a two-year graduate teaching fellowship and travel opportunities for students; over winter break 2024-25, two groups of students from the ITC took part in hands-on experiences in Kenya and Costa Rica. 
        â€¢Zell Entrepreneurship Clinic: This clinic does not state that it represents social enterprises. 
"	Strong	"Entrepreneurship Clinic

International Transactions Clinic

Environmental and Sustainability Clinic

Community Enterprise Clinic (CEC) "	FALSE	FALSE	TRUE										
